Filename,Requests,Total Time (Sec),Total Weight (MB)
res_32.har,49,3.9365160000027974,4.451831
res_400.har,50,3.0649770000002174,4.434698
res_473.har,50,2.759074000000226,4.446764
res_408.har,48,8.874705999998085,4.441012
res_357.har,50,3.285807000002795,4.439397
res_390.har,49,4.272978000000847,4.461785
res_295.har,48,3.4590579999974542,4.411504
res_286.har,0,0.0,0.0
res_37.har,49,3.3922789999997476,4.446135
res_464.har,49,2.61646599999984,4.439964
res_346.har,49,3.175285000002768,4.442353
res_445.har,48,2.69717399999738,4.435375
res_144.har,51,2.8300909999991126,4.459146
res_19.har,49,5.528752999998629,4.469059
res_202.har,86,6.016250000000873,4.891797
res_143.har,48,5.108558999999717,4.409686
res_284.har,0,0.0,0.0
res_319.har,49,4.448011000002996,4.453521
res_294.har,49,4.325067000001873,4.432224
res_199.har,48,4.798913999999204,4.472695
res_252.har,49,3.0310859999986715,4.458803
res_462.har,51,2.6451150000013586,4.440947
res_293.har,49,3.7839859999977636,4.442957
res_482.har,49,2.797192000000592,4.478064
res_51.har,54,3.7974969999984025,4.465169
res_207.har,50,3.904980000000447,4.415968
res_269.har,89,4.534765000001411,4.934771
res_448.har,49,2.4756410000014295,4.45249
res_74.har,51,3.0374200000007696,4.455323
res_18.har,49,3.323098999998765,4.437201
res_230.har,51,2.926201999998244,4.442312
res_401.har,49,2.446759999998991,4.428756
res_262.har,49,5.339976000002265,4.459118
res_238.har,81,5.554562999999005,4.826238
res_131.har,46,5.028063000000256,4.452228
res_299.har,49,3.583469999998837,4.43223
res_49.har,49,3.711524000001373,4.474715
res_430.har,48,2.501637000000221,4.451792
res_376.har,49,3.2782300000026297,4.445881
res_121.har,46,3.0684380000006604,4.457423
res_183.har,60,3.7312440000010247,4.49602
res_177.har,49,3.3216850000024425,4.445054
res_44.har,49,5.349933999997069,4.430399
res_138.har,48,3.2395120000001336,4.44769
res_141.har,44,4.887768999999447,4.753448
res_296.har,49,3.430865000000398,4.437141
res_287.har,0,0.0,0.0
res_68.har,48,3.233056999999739,4.452347
res_395.har,48,2.307560000001016,4.469148
